images,captions
Crested_Auklet_0042_794902.jpg,the bird has a gray body with a black head and gray webbed feet and the bill is bright orange.
Crested_Auklet_0019_794925.jpg,this dark gray bird has a orange bill with white eyes and a feather hanging over its bill.
Crested_Auklet_0052_794952.jpg,the bird's eye ring is white and the bill is orange.
Crested_Auklet_0032_794931.jpg,"the orange beak is rounded and very small, compared to the size of the head, the body is all black and dark gray and there are two long, black feathers sticking up on the front of the head."
Crested_Auklet_0072_785260.jpg,this is a gray bird with a white eye and an orange beak.
Lazuli_Bunting_0028_14950.jpg,small blue bird with a white belly with gray tipped wings and a white striped of feathers on its wings.
Lazuli_Bunting_0082_15047.jpg,"crown of shiny blue and chest brown. beak is short, sharp and stout"
Lazuli_Bunting_0089_14598.jpg,this blue headed bird stands with attentive posture
Lazuli_Bunting_0021_14686.jpg,"the bird has blue on the feather, orange breast feather, and multi colors on the wing"
Lazuli_Bunting_0074_14854.jpg,this is a mostly blue bird with black and white streaks on its wings and a white belly.
Lazuli_Bunting_0094_11894.jpg,blue feathered bird with black eyes and a short black beak.
Lazuli_Bunting_0025_15079.jpg,the head of the bird is blue and the chest if brown while the belly is white.
Lazuli_Bunting_0107_14705.jpg,"this is a bird with a white belly, black wing and a blue head."
Lazuli_Bunting_0092_14656.jpg,"this magnificent little fellow has a white belly and breast, and bright blue crown and nape."
Lazuli_Bunting_0059_14749.jpg,"a round bird with a blue head, orange throat cream belly, and black wings."
Lazuli_Bunting_0041_15152.jpg,a mostly blue bird with a white and yellow belly and a small beak.
Lazuli_Bunting_0008_15195.jpg,this is a blue bird with grayish feathers on its wings.
Lazuli_Bunting_0032_14778.jpg,"a bird with a white belly, yellow breast, black wings with white wing bars, and a blue head."
Lazuli_Bunting_0001_14916.jpg,"this bright blue and orange bird has short feathers on the head and body, with long and wide feathers on its wings"
Lazuli_Bunting_0061_15155.jpg,"this bright and colorful bird features a blue head and back, while sporting an orange chest."
Lazuli_Bunting_0031_15018.jpg,a small sized bird that has a blue head and tones of blue in the wings
Lazuli_Bunting_0004_14887.jpg,"this bird has a small beak with a distinctively bright blue head, peach chest, and white underside."
Lazuli_Bunting_0055_15043.jpg,"a small bird with a brown bill and breast with bright blue nape, throat, and crown."
Lazuli_Bunting_0037_15021.jpg,"this is a multi-colored small bird with a blue neck, striped wings, red neck and a white belly."
Lazuli_Bunting_0040_14923.jpg,"this bird has a bright blue head with a short beak and black eyes, a tan chest and a white belly."
Lazuli_Bunting_0097_14617.jpg,"a small colorful bird with bright light blue on its crown, nape and throat, a gunmetal blue on its back, black and wings with two white wing bars, and blue rectrices"
Lazuli_Bunting_0030_14986.jpg,"this is a colorful bird with a white belly, orange breast and a blue back and head."
Lazuli_Bunting_0026_14669.jpg,"a brightly colored bird with a blue head and a rust colored breast, small pointed bill and gray tarsus and feet."
Lazuli_Bunting_0015_14690.jpg,"this bird has a white breast, blue crown, and black wings"
Lazuli_Bunting_0105_15017.jpg,a blue small bird with a whitish brown underbelly and a light blue beak.
Lazuli_Bunting_0081_14709.jpg,"this blue bird has a short black bill, and wings which are white, blue, and black."
Lazuli_Bunting_0067_14672.jpg,a medium sized bird with a orange breast and a blue head
Lazuli_Bunting_0034_14864.jpg,the bird has a blue head and very scruffy rough plumage.
Lazuli_Bunting_0054_14714.jpg,"this bird has a brown breast, a white belly, a blue head, and blue and brown wings."
Lazuli_Bunting_0095_14919.jpg,a small bird with a blue head and a white belly.
Lazuli_Bunting_0048_14844.jpg,"a small colorful bird containing bright blue, orange, white, and black feathers and a small gray and white beak."
Lazuli_Bunting_0085_14627.jpg,"the bird has a white side and belly, gold breast, gray crown, silver with black wing bar, and gray outer rectrices."
Lazuli_Bunting_0042_14820.jpg,this bird has a blue head and a blue tail with a brown belly.
Lazuli_Bunting_0078_15164.jpg,"this bird has a white belly, orange breast, brilliant bright blue head and back, and black and white wings, with a short beak and black cheek patch."
Lazuli_Bunting_0093_15030.jpg,"a medium sized bird with a blue head and rust colored breast, has white wing bars and dark tarsus and feet."
Lazuli_Bunting_0102_14605.jpg,"this small bird has a lite blue head, small black beak, and a white breast that has a bronze marking at the top."
Lazuli_Bunting_0070_14665.jpg,the bird has a blue head with a white wing bars and a tan throat.
Lazuli_Bunting_0010_14915.jpg,this bird has blue feathers on the top of his head and black claws.
Lazuli_Bunting_0009_15163.jpg,"a blue bird, with a gray bill, white wing bars and a white belly"
Lazuli_Bunting_0076_14662.jpg,this small gray bird has a blue face and back and a white belly.
Lazuli_Bunting_0014_14824.jpg,"a small bird with a blue head, white belly, and a rusty colored breast."
Lazuli_Bunting_0086_14992.jpg,this is a blue bird with a yellow and white belly with a white bill
Lazuli_Bunting_0084_14815.jpg,an aqua color bird with white belly and shaded smoky tan breast.
Lazuli_Bunting_0080_14893.jpg,"a bird with a short, snubbed triangular beak, and a turquoise throat leading into a red breast."
Lazuli_Bunting_0039_15081.jpg,"the bird has a brown breast, belly and abdomen with a blue and brown colored nape and crown."
Lazuli_Bunting_0087_15096.jpg,this bird has a white belly and breast with a blue crown and white wing bars.
Lazuli_Bunting_0101_14873.jpg,"this bird has a brown breast, a white belly and a blue face."
Lazuli_Bunting_0020_14837.jpg,"the black wings have two white wing bars, the bill is short and pointed, and the head is small compared to the body."""
Lazuli_Bunting_0073_14594.jpg,a small bird with a blue head and orange belly with black and orange wing bars.
Lazuli_Bunting_0035_14920.jpg,"blue feathers on top of bird body, thin black claws and white feathers on the breast and underside of the bird"
Lazuli_Bunting_0056_15032.jpg,a blue bird with a yellow belly with brown feet
Lazuli_Bunting_0052_14618.jpg,"a small bird with slender, black legs, a blue head and bill, an orange breast, and a white belly and abdomen."
Lazuli_Bunting_0046_14787.jpg,this bird has brilliant blue feathers and a short flat beak.
Lazuli_Bunting_0027_14895.jpg,the bird has a blue crown and a small black bill.
Lazuli_Bunting_0066_14914.jpg,"this bird has a small pointed beak, a blue head, tan breast and white belly, wings have white blue and tan bars."
Lazuli_Bunting_0045_14954.jpg,this is a blue and green bird with a pointed beak.
Lazuli_Bunting_0047_14863.jpg,this bird is yellow with white on its belly and blue on its head.
Lazuli_Bunting_0057_14775.jpg,"this is a colorful bird with blue throat, brown breast, and white belly and abdomen."
White_Eyed_Vireo_0041_159032.jpg,"this bird has a green crown and back, with yellow sides and eye rings."
White_Eyed_Vireo_0029_159334.jpg,this is a bird with a yellow belly and head and a gray breast.
White_Eyed_Vireo_0016_158978.jpg,"small roundish bird with a yellow abdomen and belly, mostly light gray head, with a yellow spot peri-eye, black secondaries with one white wing bar."
White_Eyed_Vireo_0032_159145.jpg,the bird has a yellow belly and breast as well as a black eye ring.
White_Eyed_Vireo_0074_159279.jpg,this is a smaller round bird with a yellow belly and appears to have darker colors along its back.
White_Eyed_Vireo_0095_158886.jpg,"the bird has gray throat, beak, breast, tarsus and feet, it has brown wings and sharp pointy beak."
White_Eyed_Vireo_0134_158889.jpg,this bird has a white belly with yellow and black wings.
White_Eyed_Vireo_0040_159101.jpg,"this is a bird with a yellow belly, black wings and a yellow eyebrow."
White_Eyed_Vireo_0132_158908.jpg,"a small sparrow-like bird with brown wings, tail, and white wing bars has a white throat and yellow breast and belly."
White_Eyed_Vireo_0042_159012.jpg,"a small bird with a green crown, white belly, and black secondaries."
White_Eyed_Vireo_0066_159477.jpg,a small yellow bird with a black stripe on the wings.
White_Eyed_Vireo_0129_158823.jpg,this bird has a large eye ring that is colored yellow with blue feathers on the top part of its body.
White_Eyed_Vireo_0136_156418.jpg,this bird has a short flat beak and black eyes.
White_Eyed_Vireo_0126_159341.jpg,this little yellow guy has white wing bars and a gray crest.
White_Eyed_Vireo_0135_158955.jpg,"a bird has a short black bill, a tan belly, and small black feet."
White_Eyed_Vireo_0002_159180.jpg,a small yet plump bird has a yellow body with darker wing bars separated by a dirty gray nape and a tiny beak.
White_Eyed_Vireo_0049_158835.jpg,"small bird with yellow wings and white wing bars, green tail and small black beak."
White_Eyed_Vireo_0102_159420.jpg,a small multicolored bird with a yellow body and a blue-gray head with a yellow face.
White_Eyed_Vireo_0024_159193.jpg,"bird has brown body feathers, white breast feathers and black beak"
White_Eyed_Vireo_0019_159095.jpg,"a small colorful bird with a white eye ring, white throat and breast, yellow sides, brown and green secondaries, and brown coverts with white wing bars."
White_Eyed_Vireo_0115_158932.jpg,the bird has a gray head with yellow green feathers around the eye; the beak is thin and pointed; the breast and wings are yellow green in color.
White_Eyed_Vireo_0045_159232.jpg,"a small bird wit ha yellow and white breast, throat and belly, and a dark green crown."
White_Eyed_Vireo_0116_159028.jpg,"this bird has a short black bill, black feet, and a yellow eye ring."
White_Eyed_Vireo_0012_159495.jpg,a small yellow and gray bird with bright yellow eyes and white wing bars.
White_Eyed_Vireo_0083_159203.jpg,this small bird has a yellow breast and black feathers with yellow wing bars.
White_Eyed_Vireo_0059_159225.jpg,"this bird has a short curved bill, gray tarsus and feet, and a yellow eye ring."
White_Eyed_Vireo_0094_158894.jpg,this bird is mostly mustard yellow with shades of brown in the wing
White_Eyed_Vireo_0022_159037.jpg,the small bird has a round head and white chest with white wing bars.
White_Eyed_Vireo_0046_158849.jpg,"this bird has a white breast, yellow belly, gray wing and a yellow eye ring."
White_Eyed_Vireo_0026_158963.jpg,this small bird is all a dark gray except for its light gray belly.
White_Eyed_Vireo_0120_158991.jpg,"a bird with white throat,belly and breast, black tarsus and feet and the head is small compare to its body"
White_Eyed_Vireo_0118_159036.jpg,"a smaller bird with a faint yellow hue on its under belly, a yellow nape, and gray wing bars."
White_Eyed_Vireo_0001_159237.jpg,"a small bird with a yellow and gray crown, gray throat and breast, yellow belly and back with green-gray wings and tail and white wing bars."
White_Eyed_Vireo_0050_158829.jpg,"this bird has a mixture of green, yellow, and black on its back and has black claws."
White_Eyed_Vireo_0128_158993.jpg,"a small bird with a yellow and white belly, with light brown wing bars."
White_Eyed_Vireo_0064_159286.jpg,this bird has green eyes and black beak and black feet and tarsus with a yellow underbelly and white wing bars on light-brown wings with yellow primaries.
White_Eyed_Vireo_0061_159042.jpg,"this small bird is covered head to tail with faint yellow feathers on it's breast, head, and under tail coverts; all leading forward to a black pointed bill."
White_Eyed_Vireo_0051_159033.jpg,"this bird has a white belly, small feet, and a yellow wing"
White_Eyed_Vireo_0086_159202.jpg,"this bird has long, gray tarsus and bill, an off-white belly and side, and light gray wings."
White_Eyed_Vireo_0090_158958.jpg,"this bird has a light yellow belly and breast, with white and black wing bars."
White_Eyed_Vireo_0125_159078.jpg,"this bird has a light green color, with a light gray tarsus, foot, and bill."
White_Eyed_Vireo_0099_158933.jpg,this smaller bird has a yellow and white belly and neck with a gray crest and wing.
White_Eyed_Vireo_0018_159450.jpg,"this bird has a yellow crown, a white belly and a black bill."
White_Eyed_Vireo_0030_159265.jpg,a small bird gray bird with yellow lining the sides of its white belly.
White_Eyed_Vireo_0111_158864.jpg,"this bird has a gray belly and breast, with a yellow crown and white wing bars."
White_Eyed_Vireo_0078_159382.jpg,"this is a bird with a white belly, yellow wings and a yellow head."
White_Eyed_Vireo_0122_159284.jpg,"this is a small bird with a short, pointy beak and yellow colorations around the head and breast."
White_Eyed_Vireo_0080_159087.jpg,this bird has a small flat beak and a small head compared to the rest of the body.
White_Eyed_Vireo_0130_159075.jpg,"this small bird is a grayish color with yellow around its eyes, yellow wing bars, and a short, straight beak."
White_Eyed_Vireo_0015_159081.jpg,the bird has a small eye ring ass well as a small bill that is black.
White_Eyed_Vireo_0082_159186.jpg,this bird has a white and black eye and yellow and black feathers.
White_Eyed_Vireo_0091_159045.jpg,"a small bird with a gray crown, light yellow covering its belly and vent, and gray and black wings with two white wing bars."
White_Eyed_Vireo_0071_159072.jpg,this bird is white and gray in color with a short black beak and black eye rings.
White_Eyed_Vireo_0110_158947.jpg,"a petite bird win a light green under belly, a yellow nape, and black and yellow striped tail feathers."
White_Eyed_Vireo_0009_158830.jpg,"small roundish bird with yellow undersided body, white breast and chin, white neck stripe, black secondaries with one white wing bar , black eyes, pale gray bil and feet."
White_Eyed_Vireo_0085_159119.jpg,this is a dark green and a light green bird that has blue feet
White_Eyed_Vireo_0088_159084.jpg,"the small gray,brown and white bird has white wing bars and a yellow eyebrow."
White_Eyed_Vireo_0112_159147.jpg,"a yellow bellied bird with white wing bars, a yellow superciliary with a short silver bill."
White_Eyed_Vireo_0033_159079.jpg,"this bird has a yellow belly, white throat and gray crown."
White_Eyed_Vireo_0114_159206.jpg,a small bird has a yellow cheek patch and white breast with a black bill opened.
Pied_Kingfisher_0062_72379.jpg,"this is a small bird with a very large, long bill and a white superciliary with white and black belly and breast."
Pied_Kingfisher_0118_72115.jpg,"this large bird has white rectrices with black spots and tips, and a light brown colored breast and belly."
Pied_Kingfisher_0067_71641.jpg,"this little bird has a white belly and breast, with a black superciliary and black tipped secondaries."
Pied_Kingfisher_0095_72008.jpg,a small bird with a white and black head and body with a long beak.
Pied_Kingfisher_0014_72119.jpg,this is a black and white bird with a long black bill with small black feet
Pied_Kingfisher_0017_72316.jpg,this black and white bird may be a woodpecker with its extra long beak and tufted head.
Pied_Kingfisher_0109_72082.jpg,"this bird has a long black bill, a white superciliary, and a spotted wing."
Pied_Kingfisher_0068_72278.jpg,small black and white bird with a long and narrow black beak and a black and white mo-hawk.
Pied_Kingfisher_0132_72706.jpg,"a bird with a very large pointed bill, swept back black crown, and white eyebrow."
Pied_Kingfisher_0085_71557.jpg,"a small white and black striped bird with a black, long, narrow bill and a short tail."
Pied_Kingfisher_0036_72275.jpg,"white bird, with black feathers with white spots, a black beak and black feet."
Pied_Kingfisher_0117_71947.jpg,"a black and white speckled bird with a long, pointed beak and black feet."
Pied_Kingfisher_0122_71789.jpg,the wings of the small bird are black and white with a white breast and it has a long black bill.
Pied_Kingfisher_0051_71429.jpg,"this bird has a very big black bill, and white and black colored coverts and breast."
Pied_Kingfisher_0030_72603.jpg,"this bird has a spotted wing, a long pointed bill, a white throat."
Pied_Kingfisher_0033_71883.jpg,a black and white speckled bird with a large head and a large beak.
Pied_Kingfisher_0053_72761.jpg,this is a gray bird with white wings and a long pointy black beak.
Pied_Kingfisher_0040_72739.jpg,"this bird has a white belly and breast, black rings around its neck, and a long thick bill."
Pied_Kingfisher_0031_71829.jpg,a very curious bird in this photograph has a polka-dotted appearance the way his whole body is black and white and his bill is black and extremely long for his body.
Pied_Kingfisher_0047_72401.jpg,this bird has a white belly with a long and pointy black beak.
Pied_Kingfisher_0013_72114.jpg,the bird is black and white with a black bill and white neck.
Pied_Kingfisher_0011_72143.jpg,"a large bird has long feathers on its crown, a large bill, and a white belly and abdomen."
Pied_Kingfisher_0106_71404.jpg,"with a large black bill, this bird has a mix of black and white all over it's head and wings."
Pied_Kingfisher_0004_72135.jpg,"this bird has a white belly and breast, with a black superciliary and long narrow bill."
Pied_Kingfisher_0065_71871.jpg,this is a black and white spotted bird with a large black beak.
Pied_Kingfisher_0015_72299.jpg,a medium sized bird that has white and black patterns with a very long pointed bill
Pied_Kingfisher_0128_72775.jpg,"the bird has big head and beak when compared to its body, with white throat and black crown, with black and white wing bars."
Pied_Kingfisher_0083_72430.jpg,"a white bodied bird with black details across chest, wings and head, also features a very long pointed beak and crest of feathers on head."
Pied_Kingfisher_0102_72349.jpg,this is a small black and white bird with a long skinny black beak.
Pied_Kingfisher_0016_72280.jpg,"the bird has a very big and long bill, while it's body is covered in streaks of black and white."
Pied_Kingfisher_0071_72576.jpg,this is a black and white bird with a long pointy black beak.
Pied_Kingfisher_0054_72296.jpg,"the bird has a large, knifelike bill, a ruffled nape and crown, and a mixture of black and white spots across its body"
Pied_Kingfisher_0032_71792.jpg,"this bird has a black bill that is longer than its head, black eyebrows, white superciliaries and mottled white and gray wings."
Pied_Kingfisher_0093_72465.jpg,this bird has a mostly speckled pattern covering its body with a long pointy bill.
Pied_Kingfisher_0073_72508.jpg,this is a black and white bird with a long pointed black beak.
Pied_Kingfisher_0059_72492.jpg,"this bird has a spotted black and white back, a long black bill, and a white cheek patch."
Pied_Kingfisher_0116_71900.jpg,the bird has a black eye ring and a long black bill.
Pied_Kingfisher_0078_71985.jpg,"this bird has a white belly and breast, black superciliary, and long narrow bill."
Pied_Kingfisher_0025_72469.jpg,"a small bird with a white and black head and nape, with black and white covering the rest of its body, and black tarsus and feet."
Pied_Kingfisher_0080_72199.jpg,this bird has a white belly and breast with black stripes around its neck and nape.
Pied_Kingfisher_0045_71143.jpg,the long bill bird is small with a white throat and white under tail coverts.
Pied_Kingfisher_0097_71895.jpg,a black and white bird with a very long black beak
Pied_Kingfisher_0002_71698.jpg,"small black and white bird with short tarsus, long black beak and medium black eyes"
Pied_Kingfisher_0027_71434.jpg,this bird has a white breast and belly with a black crown and superciliary.
Pied_Kingfisher_0024_71560.jpg,this is a black and white bird with a long pointy black beak.
Pied_Kingfisher_0075_72581.jpg,the small black and white bird has a long bill.
Pied_Kingfisher_0046_72156.jpg,this bird has a large black beak compared to the rest of his size he has a white breast and neck separated by a gray band his wings are black with white flecks and has white surepciliary
Pied_Kingfisher_0022_72247.jpg,this small bird has a long bill and is black and white throughout the rest of its body.
Pied_Kingfisher_0061_72193.jpg,a bird with black wings and a white belly and a very long black beak.
Pied_Kingfisher_0007_72438.jpg,"this colorful bird has a white belly and breast, black and white wings, and black tarsus and feet."
Pied_Kingfisher_0028_72221.jpg,"this bird has a large, pointed black bill and a body that is a mix of white and black splotches."
Pied_Kingfisher_0121_72378.jpg,"small bird with a black plumage with white tipped feathers, white neck, black cheek patches, and a long black beak."
Pied_Kingfisher_0029_72440.jpg,"this bird has white and black color belly, chest, wings with tail, bill and throat"
Pied_Kingfisher_0063_71999.jpg,"the bill is too sharp and long, white belly, breast, black and white wings, tail and black feet"
Pied_Kingfisher_0026_71875.jpg,"this bird is a medium sized white and gray bird with a spotted appearance because his plumage is symmetrical and he has a long, sharp, black pointy bill for fishing perhaps as he is sitting on a tree stump in the water, and his crown is spiked."
Pied_Kingfisher_0018_71657.jpg,"a small bird with an extremely large beak compared to its body size, that is covered in black and white feathers."
Pied_Kingfisher_0019_72659.jpg,this black and white bird has a long beak and a tuft at its neck.
Pied_Kingfisher_0021_72498.jpg,"the beak is very long and pointed, very big for the small body, the head is black and white and the wings are black and white."
Pied_Kingfisher_0107_71987.jpg,this is a black and white bird with a large black pointy beak.
Pied_Kingfisher_0074_71830.jpg,this bird has a black and white speckled appearance with a long pointy bill.
Bank_Swallow_0044_129687.jpg,"this bird has a white throat, a short brown bill, and a white belly."
Bank_Swallow_0031_129507.jpg,"this bird has a short bill, dark black top and cream body with long, swept back wings."
Bank_Swallow_0029_129751.jpg,"light brown bird with a puffy breast, lighter colored belly and a small stubbed beak."
Bank_Swallow_0066_129559.jpg,"this bird has white abdomen, breast and side and a brown crown with a black covert."
Bank_Swallow_0014_129668.jpg,"this bird has a white belly and brown back, a short black beak, and an overall puffy appearance."
Bank_Swallow_0024_129779.jpg,medium sized black bird with light colored tan feathers on its body with spots of white.
Bank_Swallow_0068_129806.jpg,"this bird has a brown crown, eyebrow with brown wings and tail, the bill is short and pointed"
Bank_Swallow_0037_129903.jpg,"this bird has a gray breast, crown and wings. the cheek patch is also gray. the retricies are gray and the entire underside of the bird otherwise is white."
Bank_Swallow_0063_129774.jpg,"this bird has a fluffy white breast, short pointed black bill and black retricles."
Bank_Swallow_0053_129501.jpg,"this bird is pale gray with a white breast, black wings, and long, pointed primaries."
Bank_Swallow_0032_129491.jpg,a small white sparrow-like bird that is brown on its dorsal side and white on ventral side and has black eyes.
Bank_Swallow_0036_129567.jpg,"the bird has brown crown, nape and wings, it has white throat, belly and abdomen, it has small beak when compared to its body size."
Bank_Swallow_0026_129870.jpg,"this bird has a light colored belly and neck with a dark gray crown, wings, and tail."
Bank_Swallow_0016_129791.jpg,"a small sized bird that is all gray in color, has very large wings in comparison to its body and has all black appendages and eyes."
Bank_Swallow_0004_129549.jpg,the bird has a black eye ring and small black bill.
Bank_Swallow_0046_129742.jpg,a brown breasted bird with white abdomen and black short pointed beak.
Bank_Swallow_0001_129516.jpg,the bird has a white belly with tan wings and a tan face.
Bank_Swallow_0050_129780.jpg,this is a bird with a white belly and black wings.
Bank_Swallow_0022_129923.jpg,"this brown bird has a pale breast and a short, pointed beak."
Bank_Swallow_0067_129959.jpg,"the bird has a gray throat, breast, belly and abdomen area, with a dark brown crown and covert."
Bank_Swallow_0027_129503.jpg,"this bird is a light brown, with a round head and small black bill, it also has a white belly."
Bank_Swallow_0043_129685.jpg,the bird has a white belly and the head is small and round with large black eyes.
Bank_Swallow_0015_129853.jpg,this bird is brown with white on its belly and has a very short beak.
Bank_Swallow_0040_129674.jpg,a medium sized bird with brown/gray breast and a brown crown and bill.
Bank_Swallow_0008_129590.jpg,a brown bird with a white throat and a black eye ring
Bank_Swallow_0041_129625.jpg,a small bird with a white breast and belly has a dark brown crown and bill.
Bank_Swallow_0002_129654.jpg,medium sized white bird with large brown heater her and a brown tail.
Bank_Swallow_0018_129891.jpg,"this is a small bird with gray back and head, and a white belly and breast, and has a small pointed beak."
Bank_Swallow_0058_129756.jpg,"""a small bird with a brown head and black nape, with white and brown covering the rest of its body."""
Bank_Swallow_0039_129599.jpg,this bird is white and black in color with a sharp black beak and black eye ring.
Bank_Swallow_0059_129896.jpg,"this bird has a small bill, a white breast and belly, and a brown crown and wings."
Bank_Swallow_0045_129483.jpg,"this bird has brown wings, a black tail, and a white belly."
Bank_Swallow_0049_129611.jpg,this bird has a tiny bill and white and gray feathers
Bank_Swallow_0007_129514.jpg,a brown bird with a white belly and a very small beak.
Bank_Swallow_0069_129802.jpg,"this bird has a white belly and breast, with a brown crown and nape, and white ring around it's neck."
Bank_Swallow_0003_129623.jpg,this is a white bird with black wings and a black head.
Bank_Swallow_0028_129754.jpg,this is a brown bird with a white throat and nape.
Bank_Swallow_0019_129788.jpg,this is a bird with dark black wings and a white belly.
Bank_Swallow_0057_129499.jpg,"this bird has a brown head, back and wings and a white throat, breast and belly, and a small beak."
Bank_Swallow_0064_129816.jpg,the bird has a small bill that is black as well as a white breast.
Bank_Swallow_0020_129747.jpg,this gray and white bird has a head and body that are round in appearance with long tail feathers.
Bank_Swallow_0033_129509.jpg,"this is a small, brown bird with a white belly and short, straight beak."
Bank_Swallow_0062_129548.jpg,this bird has a white belly with great feathers and a small beak.
Bank_Swallow_0035_129528.jpg,the bird has a small black bill and a black crown.
Bank_Swallow_0017_129755.jpg,"this bird is predominantly gray in its color, but also has a light brown breast."
Bank_Swallow_0054_129743.jpg,this bird has a white belly and breast with a gray crown and wing.
Bank_Swallow_0025_129521.jpg,this bird is white with brown on its back and has a very short beak.
Bank_Swallow_0047_129520.jpg,a large bird with plane like wings and a white belly.
Bank_Swallow_0023_129878.jpg,"white breasted bird with white throat and iridescent blue crown, and wings."
Bank_Swallow_0052_129575.jpg,a small gray bird with dark gray dorsal side and light gray breast and belly and under tail.
Bank_Swallow_0030_129560.jpg,"a small bird with a gray neck and stomach, while the rest of the bird is black."
Bank_Swallow_0006_129652.jpg,"this bird has a white belly and neck, with a brown crown and wings."
Bank_Swallow_0034_129496.jpg,"this tiny bird has a very small bill, a belly covered with white and delicate feathers and has a set of black rounded eyes."
Bank_Swallow_0010_129592.jpg,this bird has a white belly and gray wings and face.
Bank_Swallow_0013_129563.jpg,this bird has a white belly and breast with brown superciliary and wings.
Bank_Swallow_0048_129546.jpg,"a long bird with wings that criss cross, and is bland in color."
Bank_Swallow_0038_129830.jpg,"this tiny bird has big eyes, a brown crown and wings with a white belly and a very tiny beak."
Bank_Swallow_0012_129518.jpg,"the bird has a white belly, breast, and abdomen with its head, covert and rectrices in black."
Bank_Swallow_0061_129484.jpg,a small bird with a white belly and neck and is brown everywhere else.
Common_Yellowthroat_0020_190720.jpg,the small bird has yellow breast and brown abdomen. as well as a black cheek patch.
Common_Yellowthroat_0070_190678.jpg,the bird has a yellow body with a black face and a white nape.
Common_Yellowthroat_0059_190584.jpg,"a small, brightly colored yellow bird with a black and white crown."
